S No.,Title,Decisions,Words
173,Puravankara Projects gives 70% dividend to non-promoters,"{""Puravankara Projects"": ""neutral""}",7
174,Pulses futures remain steady in thin trade,"{""Pulses futures"": ""neutral""}",7
175,Pulses remain flat in thin trade,"{""Pulses"": ""neutral""}",6
176,Pulses remain steady in thin trade,"{""Pulses"": ""neutral""}",6
177,Pulses prices end steady in tight movements,"{""Pulses"": ""neutral""}",7
178,Prices of pulses remain steady in thin trade,"{""pulses"": ""neutral""}",8
179,PTC India appoints Deepak Amitabh as CMD,"{""PTC India"": ""neutral""}",7
180,"Finally, PSU-ETF launched; subscription from next week","{""PSU-ETF"": ""neutral""}",7
181,PSU bonds match equity returns in fourth quarter,"{""PSU bonds"": ""neutral"", ""equity"": ""neutral""}",8
182,Principal MF appoints PVK Mohan as Head-Equity,"{""Principal MF"": ""neutral""}",7
183,PricewaterhouseCoopers to conduct special audit of MCX,"{""PricewaterhouseCoopers"": ""neutral"", ""MCX"": ""neutral""}",7
184,"Neutral on power sector: Pankaj Pandey, ICICI Direct","{""power sector"": ""neutral""}",8
185,Overseas funds plug into power gear makers,"{""power gear makers"": ""neutral""}",7
186,Participate in power through other sectors: Vijai Mantri,"{""power"": ""neutral""}",8
187,PNB: Asset quality improves but payout cut disturbing,"{""PNB"": ""neutral""}",8
188,Long-term investors may go for PMC Infratechs IPO,"{""PMC Infratech"": ""neutral""}",8
189,Sameer Garde appointed Philips Healthcare South Asia President,"{""Philips Healthcare"": ""neutral""}",8
190,Things that influence pharmaceutical sector growth story,"{""pharmaceutical sector"": ""neutral""}",7
191,Seven rules for investing in penny stocks,"{""penny stocks"": ""neutral""}",7
192,Pegasystems Inc acquires MeshLabs Software,"{""Pegasystems Inc"": ""neutral"", ""MeshLabs Software"": ""neutral""}",5
193,Parabolic Drugs IPO opens on June 14,"{""Parabolic Drugs"": ""neutral""}",7
194,OnMobile appoints Sanjay Bhambri as Regional VP,"{""OnMobile"": ""neutral""}",7
195,Sudhir Vasudeva to head ONGC,"{""ONGC"": ""neutral""}",5
196,Britain FTSE regains traction as oil steadies,"{""oil"": ""neutral"", ""FTSE"": ""neutral""}",7
197,Experts' call on oil marketing companies,"{""oil marketing companies"": ""neutral""}",6
198,Oil ends steady in thin trade,"{""Oil"": ""neutral""}",6
199,Oil prices mixed in Asian trade,"{""Oil"": ""neutral""}",6
200,Oil takes breather in Asian trade,"{""Oil"": ""neutral""}",6
201,Oil prices turn mixed in Asian trade,"{""Oil"": ""neutral""}",7
202,Put OI concentration at 6000 shows support,"{""OI"": ""neutral""}",7
203,OBC may go for FPO post-capital infusion,"{""OBC"": ""neutral""}",7
204,NTPC files for FPO,"{""NTPC"": ""neutral""}",4
205,NSEL appoints five new independent directors,"{""NSEL"": ""neutral""}",6
206,NSE sees senior level changes,"{""NSE"": ""neutral""}",5
207,NSE operationalises SME platform with first listing,"{""NSE"": ""neutral""}",7
208,"Options suggest range of 8,000-8,300 for NSE","{""NSE"": ""neutral""}",7
209,NSE directs brokers to implement risk reduction mode,"{""NSE"": ""neutral""}",8
210,NSE to begin overnight investment facility from Monday,"{""NSE"": ""neutral""}",8
211,"Nomura sees Sensex at 33,500 by year-end","{""Nomura"": ""neutral"", ""Sensex"": ""neutral""}",7
212,"Nothing alarming about Nifty level: Deepak Mohoni, trendwatchindia.com","{""Nifty"": ""neutral"", ""trendwatchindia.com"": ""neutral""}",8
213,Nifty likely to trade in 7500-7700 range,"{""Nifty"": ""neutral""}",7
214,Nifty will revisit 7930-7940 levels: Mitesh Thacker,"{""Nifty"": ""neutral""}",7
215,Today's Bet: 5100-5300 level crucial for Nifty,"{""Nifty"": ""neutral""}",7
216,5450-5500 is possible on Nifty: Aptart Technical Services,"{""Nifty"": ""neutral""}",8
217,"Immediate target for Nifty at 7,935-7,940: Mitesh Thacker","{""Nifty"": ""neutral""}",8
218,Nifty may retest levels of 8000: Mitesh Thacker,"{""Nifty"": ""neutral""}",8
219,Nifty might consolidate between 8950-8980 levels: Mitesh Thacker,"{""Nifty"": ""neutral""}",8
220,Nifty to find next support at 5950 level,"{""Nifty"": ""neutral""}",8
221,"Nifty50 to find support at 7,950-7,930: Mitesh Thacker","{""Nifty"": ""neutral""}",8
222,Pre-market: Nifty seen opening flat; Economic Survey eyed,"{""Nifty"": ""neutral""}",8
223,Pre-market: Nifty seen opening flat; may reclaim 8800,"{""Nifty"": ""neutral""}",8
224,See Nifty heading towards 5180-5150 levels: Ashwani Gujral,"{""Nifty"": ""neutral""}",8
225,NHPC: Timely completion of projects crucial for company,"{""NHPC"": ""neutral""}",8
226,Network18 names Anuj Gandhi as Group distribution director,"{""Network18"": ""neutral""}",8
227,Should you buy Nestle India now?,"{""Nestle India"": ""neutral""}",6
228,T Nandakumar to be appointed NDDB Chairman,"{""NDDB"": ""neutral""}",7
229,NCDEX mulls relaunch of Brent contract soon,"{""NCDEX"": ""neutral"", ""Brent"": ""neutral""}",7
230,"Exporters, traders flock to NCDEX's forwards segment","{""NCDEX"": ""neutral""}",7
231,NCDEX launches new membership category for forwards segment,"{""NCDEX"": ""neutral""}",8
232,"NCDEX spot turnover may reach Rs 7,000 crore","{""NCDEX"": ""neutral""}",8
233,Nasdaq eyes running dark pools for banks: WSJ,"{""Nasdaq"": ""neutral"", ""WSJ"": ""neutral""}",8
234,Nasdaq Record: Then and Now,"{""Nasdaq"": ""neutral""}",5
235,"MTS appoints heads of Karnataka, UP (West) circles","{""MTS"": ""neutral""}",8
236,Kuldip Singh named new CMD of MTNL,"{""MTNL"": ""neutral""}",7
237,D-Street shakeup may be triggered by MSCI rejig,"{""MSCI"": ""neutral""}",8
238,MRPL records Rs 406 crore net profit,"{""MRPL"": ""neutral""}",7
239,"For Mphasis, watch for 345-350 level: Ashwani Gujral","{""Mphasis"": ""neutral""}",8
240,Moser Baer postpones bondholders meet on debt restructuring,"{""Moser Baer"": ""neutral""}",8
241,"Centre, states gear up for MOIL offer","{""MOIL"": ""neutral""}",7
242,Mini Indian Rupee futures launched in Dubai,"{""Mini Indian Rupee futures"": ""neutral""}",7
243,MindTree board accepts Sootas resignation,"{""MindTree"": ""neutral""}",5
244,Microsoft is tuning its phones for India coverage,"{""Microsoft"": ""neutral""}",8
245,"Mercedes India appoints new heads for sales, marketing","{""Mercedes India"": ""neutral""}",8
246,MEP Infrastructure's Rs 324 crore IPO opens tomorrow,"{""MEP Infrastructure"": ""neutral""}",8
247,"July 1, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
248,"July 10, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
249,"July 16, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
250,"July 31, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
251,"July 9, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
252,"June 11, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
253,"June 17, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
254,"June 25, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
255,"Mecklai Financial Report: 22 September, 2014","{""Mecklai Financial"": ""neutral""}",6
256,"Mecklai Financial Report: Novermber 03, 2014","{""Mecklai Financial"": ""neutral""}",6
257,"Mecklai Financial Report: October 10, 2014","{""Mecklai Financial"": ""neutral""}",6
258,"Mecklai Financial Report: October 7, 2014","{""Mecklai Financial"": ""neutral""}",6
259,"Mecklai Financial Report: September 08, 2014","{""Mecklai Financial"": ""neutral""}",6
260,"Mecklai Financial Report: September 29, 2014","{""Mecklai Financial"": ""neutral""}",6
261,"April 02, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
262,"April 14, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
263,"April 16, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
264,"August 1, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral""}",8
265,"August 7, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral""}",8
266,"February 5, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
267,"January 03, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
268,"January 07, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
269,"January 11, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
270,"January 15, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
271,"March 04, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
272,"March 15, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
273,"May 29, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
274,"November 05, 2013: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
275,"November 13, 2013: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
276,"November 27, 2013: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
277,"November 28, 2013: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
278,"September 1, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral""}",8
279,"MCX-SXCCL seeks candidates for Managing Director, CEO post","{""MCX-SXCCL"": ""neutral""}",8
280,MCX-SX is well ring-fenced from NSEL crisis: Sebi,"{""MCX-SX"": ""neutral"", ""NSEL"": ""neutral""}",8
281,MCX shares financial details with FTIL financial adviser,"{""MCX"": ""neutral"", ""FTIL"": ""neutral""}",8
282,MCX CFO Hemant Vastani resigns,"{""MCX"": ""neutral""}",5
283,MCX migrates to latest version of exchange software,"{""MCX"": ""neutral""}",8
284,MCX plans to launch spot trading in gold?,"{""MCX"": ""neutral"", ""gold"": ""neutral""}",8
285,McAfee appoints Anand Prahlad as India Operations head,"{""McAfee"": ""neutral""}",8
286,Maytas Infra to consider share issue July 19,"{""Maytas Infra"": ""neutral""}",8
287,Max Life Insurance proposes maiden dividend for shareholders,"{""Max Life Insurance"": ""neutral""}",8
288,Maruti Gujarat plans: Will small investors be shortchanged?,"{""Maruti Gujarat"": ""neutral""}",8
289,Games fund managers play in Maruti,"{""Maruti"": ""neutral""}",6
290,Maruti may get re-rated post Diwali: Prakash Diwan,"{""Maruti"": ""neutral""}",8
291,Market downside capped likely at 7550 levels,"{""Market"": ""neutral""}",7
292,Market on a consolidating mode: Mitesh Thacker,"{""Market"": ""neutral""}",7
293,Marico Kaya to be listed on bourses,"{""Marico Kaya"": ""neutral""}",7
294,Manappuram Finance launches another public issue,"{""Manappuram Finance"": ""neutral""}",6
295,Manappuram Finance launches another public issue,"{""Manappuram Finance"": ""neutral""}",6
296,MakeMyTrip posts Q4 net profit of $3.7 mn,"{""MakeMyTrip"": ""neutral""}",8
297,Mahanagar Gas files IPO papers with Sebi,"{""Mahanagar Gas"": ""neutral"", ""Sebi"": ""neutral""}",7
298,Madras Stock Exchange to close doors?,"{""Madras Stock Exchange"": ""neutral""}",6
299,Macquarie initiates neutral rating on Lupin,"{""Macquarie"": ""neutral"", ""Lupin"": ""neutral""}",6
300,M&M probably retest levels around 550: Ashwani Gujral,"{""M&M"": ""neutral""}",8
301,Hosiery maker Lux Industries to debut on NSE,"{""Lux Industries"": ""neutral""}",8
302,Lux Industries lists on NSE at Rs 3342.05,"{""Lux Industries"": ""neutral""}",8
303,US Generic launches are key to Lupin growth,"{""Lupin"": ""neutral""}",8
304,Lamy names William Penn official distributor in India,"{""Lamy"": ""neutral""}",8
305,Shareholding norms: L&T Finance Holdings explores various options,"{""L&T Finance Holdings"": ""neutral""}",8
306,L&T: Analysts' views & recommendations on the stock,"{""L&T"": ""neutral""}",8
307,Five things to know about KYC Registration Agency,"{""KYC Registration Agency"": ""neutral""}",8
308,Kirloskar Engines India turns Kirloskar Oil Engines India,"{""Kirloskar Engines India"": ""neutral"", ""Kirloskar Oil Engines India"": ""neutral""}",8
309,"Kalindee Rail is thinly traded: Sandeep Wagle, APTART","{""Kalindee Rail"": ""neutral"", ""APTART"": ""neutral""}",8
310,Jyothy Laboratories rejigs top management,"{""Jyothy Laboratories"": ""neutral""}",5
311,"JPMorgan shuffles CFO, other execs","{""JPMorgan"": ""neutral""}",5
312,JK Tyre & Industries to consider stock split,"{""JK Tyre & Industries"": ""neutral""}",8
